#name s alpha_x beta_x psi_x alpha_y beta_y psi_y D_x Dprime_x D_y Dprime_y
         pumpend 11.802043 -2.578793165549473 43.72446411175468 0.7013958431076889 0.9421951503952916 11.08304518301277 0.4923549471058553 0.01805397211034935 0.003208099087679009 -0.02212997788909897 0.004576894757630398
          dhp606 11.966243 -2.607522130618086 44.5760570833854 0.705115142001002 0.9142276071563959 10.77822056622278 0.5073789758527522 0.01858047872672292 0.003208099087679009 -0.0213788273451432 0.004576894757630398
             cs2 12.128143 -2.635848680219843 45.42495881766006 0.7087130469780378 0.8866518139141472 10.48665818795146 0.5226079814535026 0.01909961040267225 0.003208099087679009 -0.02063819839833174 0.004576894757630398
           dweld 12.204343 -2.64918087960004 45.82767807011832 0.7103831527436003 0.873672966199142 10.35252143970683 0.5299213459184806 0.01934394538542296 0.003208099087679009 -0.02028961331033278 0.004576894757630398
          qbpend 12.255143 -2.65806901252017 46.09728636463804 0.7114884069941176 0.8650204010558052 10.26419581665028 0.5348494507371135 0.01950683537392343 0.003208099087679009 -0.0200572232516668 0.004576894757630398
        qmp606a1 12.255143 -2.65806901252017 46.09728636463804 0.7114884069941176 0.8650204010558052 10.26419581665028 0.5348494507371135 0.01950683537392343 0.003208099087679009 -0.0200572232516668 0.004576894757630398
          q606a1 12.763143 -1.364630207608754 48.15076608790572 0.7222451755605425 0.5067149206824767 9.570707528690102 0.5862503176203437 0.02099044510452254 0.00262873173427444 -0.01787339537692809 0.004035557663449611
        qmp606a1 12.763143 -1.364630207608754 48.15076608790572 0.7222451755605425 0.5067149206824767 9.570707528690102 0.5862503176203437 0.02099044510452254 0.00262873173427444 -0.01787339537692809 0.004035557663449611
          qbpend 12.813943 -1.367649901052329 48.28956591742571 0.7232986779895324 0.5000442112955894 9.519564164785615 0.5915724442969582 0.02112391794012992 0.00262873173427444 -0.01766849149955742 0.004035557663449611
           dweld 12.890143 -1.37217944121769 48.49834091330668 0.7248732591795769 0.4900381472152584 9.444119889067091 0.5996090075586806 0.02132412719354099 0.00262873173427444 -0.01736113568350142 0.004035557663449611
           dweld 12.966343 -1.376708981383052 48.70780621110887 0.7264410655454391 0.4800320831349274 9.370200537514403 0.6077093715082043 0.02152433644695207 0.00262873173427444 -0.01705377986744541 0.004035557663449611
          qbpend 13.017143 -1.379728674826626 48.84783324404432 0.7274825237696338 0.47336137374804 9.32176814990475 0.6131449060447668 0.02165780928255945 0.00262873173427444 -0.01684887599007474 0.004035557663449611
        qmp606a2 13.017143 -1.379728674826626 48.84783324404432 0.7274825237696338 0.47336137374804 9.32176814990475 0.6131449060447668 0.02165780928255945 0.00262873173427444 -0.01684887599007474 0.004035557663449611
          q606a2 13.525143 0.01271213773600677 49.54565834692053 0.7377838935301956 0.1508385000884938 9.006200465684707 0.6687503779538986 0.02283237411023981 0.001992251932388734 -0.01491726749185431 0.003582206594601078
        qmp606a2 13.525143 0.01271213773600677 49.54565834692053 0.7377838935301956 0.1508385000884938 9.006200465684707 0.6687503779538986 0.02283237411023981 0.001992251932388734 -0.01491726749185431 0.003582206594601078
          qbpend 13.575943 0.01168665516303764 49.54441888824127 0.7388092234183625 0.1450696062407614 8.991168333883184 0.674395679565975 0.02293352993050422 0.001992251932388734 -0.01473538233942003 0.003582206594601078
           dweld 13.652143 0.01014843130358405 49.5427550546525 0.7403472636514481 0.1364162654691626 8.969719110458886 0.6828808915540999 0.02308526366090084 0.001992251932388734 -0.01446255461076861 0.003582206594601078
       dqqbp606a 13.652143 0.01014843130358405 49.5427550546525 0.7403472636514481 0.1364162654691626 8.969719110458886 0.6828808915540999 0.02308526366090084 0.001992251932388734 -0.01446255461076861 0.003582206594601078
       bpquadend 13.674373 0.009699681744585967 49.54231383109943 0.7407959690113204 0.1338918066062669 8.96371016201665 0.6853600631260477 0.02312952928854804 0.001992251932388734 -0.01438296195449668 0.003582206594601078
          qt606a 13.826773 0.006623234025678384 49.53982621873602 0.7438722093981011 0.1165851250630678 8.925537477630241 0.7023990940166739 0.02343299674934128 0.001992251932388734 -0.01383730649719382 0.003582206594601078
       mrkqt606a 13.826773 0.006623234025678384 49.53982621873602 0.7438722093981011 0.1165851250630678 8.925537477630241 0.7023990940166739 0.02343299674934128 0.001992251932388734 -0.01383730649719382 0.003582206594601078
          qt606a 13.979173 0.003546786306770998 49.53827630763735 0.7469485751442985 0.09927844351986864 8.892639869778201 0.7195060842922829 0.02373646421013452 0.001992251932388734 -0.01329165103989096 0.003582206594601078
       bpquadend 14.001403 0.003098036747772917 49.53812859322084 0.7473973197423357 0.09675398465697303 8.88828206889983 0.7220065197487379 0.02378072983778172 0.001992251932388734 -0.01321205838361903 0.003582206594601078
        dqbpt606 14.060403 0.001907023523261611 49.53783329466484 0.7485883253672028 0.09005389140862229 8.87726040421196 0.7286486411779823 0.02389821395974236 0.001992251932388734 -0.01300081381681543 0.003582206594601078
       bpquadend 14.082633 0.00145827396426353 49.53775848410169 0.7490370736481263 0.08752943254572668 8.873312726920453 0.7311533517165257 0.02394247958738956 0.001992251932388734 -0.0129212211605435 0.003582206594601078
          qt606b 14.235033 -0.001618173754643955 49.53778285282973 0.7521135189209449 0.0702227510025276 8.849271294147702 0.7483526104699165 0.0242459470481828 0.001992251932388734 -0.01237556570324064 0.003582206594601078
       mrkqt606b 14.235033 -0.001618173754643955 49.53778285282973 0.7521135189209449 0.0702227510025276 8.849271294147702 0.7483526104699165 0.0242459470481828 0.001992251932388734 -0.01237556570324064 0.003582206594601078
          qt606b 14.387433 -0.004694621473551439 49.53874492282248 0.7551899335637039 0.05291606945932839 8.830504937909314 0.7655935115125646 0.02454941450897604 0.001992251932388734 -0.01182991024593778 0.003582206594601078
